Product Name(PN),  Search Result by PN  ,Company Name(CN),Search Result by CN,Designer (D),Search Result by D,Search Result by PN+CN,Search Result by PN only in HK,Search Result by PN only in China,Search Result by PN only in Amazon.com
voices for biodiversity,"9,990",Voices for Biodiversity,"9,990",Erika Zambello,"6,770","9,840","2,060","4,160",341
naked 0,"840,000",Aztec Two-Step,"44,000",Rex Fowler,"13,400","886,000","11,700","15,100",55
the oscilloscope clock iv analog version for large,170,Howard Constantine,"5,880",Howard Constantine,"6,020","6,310",1,9,147
knasa chef knife inspired by nasa patented technol,549,Adam Ackerman,"15,300",Adam Ackerman,"15,300","15,300",3,10,3
dusty brush the new way to clean 0,234,Dominic Moraitis,"5,290",Dominic Moraitis,"5,290","5,800",9,178,"11,200"
quadbot real robotics made accessible,207,EngiMake,"9,390",Josh Elijah,"15,200","9,480",5,57,0
rule massively multiplayer real time strategy game,138,Boyd Robertson,"21,400",Boyd Robertson,"21,400","20,500",1,3,"1,050"
hacker garage 40 un mejor hackerspace para creador,74,HackerGarage,"12,100",Daniel Hans Ramirez Peralta,8,"12,100","3,220","36,200",6
how to be a magician,"1,410,000",Ellusionist,"730,000",Brad  Christian,"34,900","872,000",10,4,"1,800"
perfect cookware for everyone handcrafted in the u,6,Marie   Merrill,"39,300",Mark Heard,"80,700","37,700",1,"399,000",219
the contractors website and concept art,4,John L.,"7,020,000",John Layman,"274,000","1,300,000","114,000","3,160,000",556
sparkr and sparkr mini,"4,620",Power Practical,"110,000",Kenyon Ellis,"6,490","110,000",206,603,"225,000"
omnos 512 soundbar affordable 3d sound for home th,325,Yinkman Labs,280,Christopher Olenik,467,314,1,3,1
the spontaneous pop up display spud,"18,700",Arovia,"26,200",Alexander Wesley,"27,100","27,200",488,310,5
anew you style journal life changing results in 12,111,Wilma Haerkens,414,Wilma Haerkens,414,425,1,2,1
brondell swash intelligent electronic bidet toilet,8,Brondell Inc.,"12,300",Sarah Catherine Chase,167,"12,900",3,8,252
jeans with a side panel for the perfect fit,199,zehnle von langsdorff,"3,930",Yvonne von Langsdorff,294,"7,450",4,7,"23,500"
rmour silver case for your iphone 7 and 7 plus,260,Team Creatio,"4,680",Jimmy Pan,"9,820","4,830","280,000",1,"50,100"
coolbag gen2 anti theft recreational travel bag wi,9,David Ponx,337,David Ponx,337,341,1,3,33
ko8 pro the evolution of functional fitness,155,Kieran Owens,"31,300",Kieran Owens,"31,300","8,010",2,2,0
gir ladle and spoonula,412,GIR: Get It Right,"37,800",Samantha Suzanne Tonini Rose,"15,400","36,200",194,2,174
odyssey the next generation science game,"9,860",The Young Socratics,"30,700",Vivek Kaul,"67,200","11,800",312,376,"12,300"
nimble sense bring your hands into virtual reality,"1,880",Nimble VR,"7,740",(name not available),"1,040,000","7,490",61,252,118
riftmax theater,"7,220",Internow Games LLC,279,(name not available),"1,040,000","7,210",95,286,0
font awesome 5,"35,400",Dave Gandy,"152,000",David Gandy,"3,830,000","181,000",158,438,"19,000,000"
pokito,"1,230,000",Andrew Brooks,"191,000",Andrew Brooks,"191,000","1,250,000","13,400","9,070",268
dialect a game about language and how it dies,"2,300",Thorny Games,"7,680",Hakan Seyalioglu,"6,130","8,420",140,482,"6,510"
monsterhearts 2,"6,070",Avery Alder,"8,280",Avery Alder,"8,280","6,690",87,174,35
qi aerista the ultimate wi fi enabled smart tea ma,318,Rick Ha,"25,000",Wan Kei Ricky Ha,161,"33,300",5,8,0
k board pro 4 smart fabric keyboard,163,Keith McMillen Instruments,"212,000",Keith McMillen,"458,000","212,000",4,16,"6,910"
hudify a transparent gps that keeps your eyes on t,283,Hudify Inc.,"1,980",Aron Joshua Tolentino,38,"6,710",9,308,3
vinci first smart 3d headphones that understand yo,"8,960",Inspero Inc.,"28,200",Cathy Cao,"11,600","29,000",9,316,8
bixi control any smart device by simply waving you,357,Bixi,"1,640,000",Franck Roy,"24,800","1,640,000",8,410,0
2nd generation magbak protect your phone mount it,833,Alex Baca   1Lss Inc.,241,Alejandro Baca,"54,600","1,060",1,5,27
flowmotion smartphone stabilizer the end of shaky,"5,390",FlowMotion Technologies,"7,240",Erik Flood,"6,720","9,210",68,"1,650",4
sevenhugs smart remote the first remote for everyt,298,Sevenhugs,"110,000",Simon Tchedikian,"3,090","110,000",81,209,30
the wolfe supercharge your laptop,"2,630","Wolfepack, Inc.","1,560",Dino Rodriguez,"7,220","3,470",27,185,178
dashbot a 49 robot for your dashboard,306,Next Thing Co.,"36,300",Daven Rauchwerk,79,"51,900",20,183,4
your everyday light for any lifestyle,595,Lume Cube,"387,000",Matthew Cummins,"16,200","343,000",55,190,"341,000"
foldscope the origami paper microscope,"7,510",Foldscope - Manu Prakash & Jim Cybulski,"12,400",James Cybulski,"13,000","4,690",247,182,4
ad free indie mobile quiz games,9,Glitterbug,"232,000",Laura Antoinette Cavanagh,105,"148,000","202,000","345,000","36,300"
geareye the ultimate gear management system,"4,640",GearEye,"17,300",Anna Kreynin,"2,480","15,200",94,606,23
vimble s never capture a shaky video again,"2,150",DelTron Intelligence Technology Limited,"2,240",Xuran Cheng,99,"2,970",237,83,15
snapnator your macbook snap feature is back,"8,730",Snapnator.com,"6,740",Matt Cereno,146,"12,400",318,167,3
ae modular a modular synthesizer for everyone,127,tangible waves,"22,300",Robert Michael Langer,209,"22,500",4,10,28
airblock the modular and programmable starter dron,"2,170",Makeblock,"2,150,000",Daniel Vensel,350,"2,150,000",60,61,92
vue your everyday smart glasses,"24,000",Vue,"122,000,000",Jason Gui,"10,400","122,000,000",381,527,1
krossblade skyprowler multi mission vtol transform,242,Krossblade Aerospace Systems LLC,"3,180",Austin Kipp,"9,740","3,440",4,17,0
world of myrr adventure modules and handbook for 5,119,Cawood Publishing,"27,800",Andrew John Cawood,"1,910","28,000",1,"47,700",1
limitless encounters vol 1,223,Limitless Adventures,"13,800",Andrew Hand,"31,800","13,900",5,30,135
freedrum the drumkit that fits in your pocket,"5,200",Freedrum,"33,800",Joshua Angehr,42,"33,800",77,332,35
square off worlds smartest chess board relaunched,242,InfiVention Technologies,"4,070",Manoj Bhardwaj,"45,700","4,210",6,194,4
quackup quackup attack video game for windows and,57,Raymond Mullikin,"14,000",Raymond Mullikin,"14,000","13,900",1,2,6
the harlan ellison books preservation project,364,Jason Davis,"809,000",Thomas Davis,"1,410,000","805,000",5,122,58
visions of a thousand eyes the ultimate fantasy ar,70,Delphin Druelle,"14,600",Delphin Raymond Etienne Druelle,"11,200","15,000",3,3,64
txture new workshop to revive prehispanic woven fu,7,txt.ure,"7,550",Regina Pozo Ruiz,390,"7,620","21,600","27,700",0
kingdom death monster 15,"41,400",Kingdom Death,"625,000",Adam Poots,"33,200","534,000",165,309,"7,070"
betterback therapy improve posture back pain,132,BetterBack,"38,300",Katherine Krug,"14,200","387,000",2,2,363
helios touch modular lighting system,"3,710",Dyena,"69,300",James Glover,"143,000","53,700",135,90,482
adventure mat a clean surface wherever you go,196,Ralph Kuhlmeier,406,ralph kuhlmeier,406,533,27,55,188
fin a vibrator for fingers,661,Dame Products,"74,600",Alexandra Fine,"12,900","88,100",124,87,218
ab blaster the most complete core fitness workout,275,Dimitry Boss,340,Dimitry Boss,340,372,3,9,"1,260"
watson the backpack for uncompromising professiona,70,Function,"448,000,000",Valerie Crisp,"4,330","446,000,000",5,6,7
vinco wallet the profoundly thin veg tan card slee,9,Vinco Life,"5,150",Raja Mohammed Ibrahim,741,"6,150",1,3,0
el dorado maya playing cards relaunch,114,Emmanuel Valtierra,"46,800",Jesus Eutiquio Garza,4,"7,360",5,64,3
armed forces playing cards,282,RJ Tomlinson,"7,620",Robert James Tomlinson,"1,530","21,800",146,269,"33,200"
divine art playing cards limited edition,561,Sunish Chabba,"29,400",Sunish Chabba,"29,200","30,600",4,10,"39,500"
chronos 14 high speed camera,"33,400",Kron Technologies,"6,440",David Kronstein,"10,700","38,700",192,869,739
evercube lifetime toothbrush holder and multipurpo,156,Ryan Mueller & Cris Calvillo,"6,010,000",Ryan Thomas Mueller,971,154,27,3,0
yokai quest,"9,260",Zenitminiatures,"14,800",Daniel Jesus Pro Gil,70,"22,500",116,163,177
parkis space saving bicycle lift,"5,820",Giedre,"1,500,000",Giedre Raubaite,168,"1,500,000",10,137,"6,370"
inflatable waterproof anti shock capsula backpack,196,IMAGINATION FARM USA LLC,"16,800",Enrica Gray,100,"17,000",5,49,6
stealth get ripped abs by playing games on your sm,655,STEALTH FITNESS,"7,110",Howard  Panes,"10,900","7,680",6,7,16
bear soles the warmest choice this winter,319,Honey Soles,"24,900",Brad Sunness,247,"26,200",4,21,113
grippz mats the worlds first acupressure yoga mat,82,Katrina Starzhynskaya,"27,700",Katsiaryna Starzhynskaya,185,"29,300",2,32,6
fotric 123 cloud based thermal camera for early fi,161,Fotric Precision Instruments,"2,860",Weiqi Yin,378,"2,940",2,3,0
wirebutter smart powerboard,272,Anthony Salerno,"39,400",Anthony Salerno,"39,400","58,900",20,2,0
bluetooth smart pen 20 exceptional quality and val,209,Mimoto Tech,"2,020",Roman Gudzyuk,288,"2,160",2,6,48
repour smart stopper,291,Wine Saver,"186,000",Thomas Lutz,"91,800","235,000",8,47,40
swankytm the floating ladle,92,OTOTO,"1,230,000",Joshua Soloway,609,"1,230,000",34,309,107
dash access bifold wallet,233,Steven Elliot,"43,800",Steven Ng,"164,000","48,400",4,16,274
audio game hub keep your ears wide open,160,Jarek Beksa,460,Jaroslaw Beksa,492,587,3,5,"40,800"
lee knife the best kitchen knife on earth,9,Tianyu,"2,390,000",(name not available),"1,330,000","2,400,000","209,000",9,"7,870"
swindon fringe festival 2017,242,Madam Renards,"2,170",Molly Hannah F Campbell,"2,380,000","2,350",2,2,3
idockall 2 true one hand undocking with a twist,81,Nath & Kev - Wiplabs,"12,700,000",Nathalie De Clercq,"19,700",5,17,85,0
colaboracion no1 aluxes,161,La Refugio,"18,300",Mariana Valentina Maduro,"212,000","18,100",1,2,0
the station a first person exploration story drive,298,The Station,"45,700,000",Kevin Harwood,"8,620","3,180,000",7,7,"9,530"
king lear,"38,600,000",Eno River Players,341,Louis Egger,"3,200","472,000","400,000","359,000","11,700"
krysala birth,9,Valancet,"3,650",Mark Grant,"276,000","3,580",409,1,1
xlp dice v20,128,TWIST Gaming,"11,200",Joshua Benjamin Perry,7,"11,100",5,2,0
lil bunny sue roux on two the adopted two legged b,150,Golden Bell Studios,"18,500",Marc Goldner,"11,400","7,730",1,1,0
pod portable power on demand,50,Devin Fausett,186,(name not available),"1,270,000",217,5,8,"23,000"
the journeyman series handcrafted mechanical watch,8,Vortic Watches,"9,690",Robert Thomas Custer,237,"9,680",1,1,483
objects of celebration,"43,400",Claire Heminsley,"5,850",Claire Ruth Heminsley,"9,540","57,900","9,180","25,600",4
studio ceramica we need wheels,4,Mel Rice,"26,100",Melissa Rice,"44,800","27,300",1,1,171
morpheus delta fine quality resin 3d printer at fd,88,TEAM OWL WORKS,"4,770",SEYOUNG KIM,"29,700","4,840",4,25,0
political fables for unsweet dreams,93,Jose Heredia,"142,000",Jose Manuel Heredia,"20,000","145,000",8,24,0
five minutes for art a coloring book from peter si,6,Painted Heroes,"19,700",Peter Simeti,"14,000","17,800","209,000","564,000",127
man vs meeple,"32,000",Jeremy D Salinas,897,Jeremy Salinas,"28,100","32,500",272,225,4
5 minute dungeon the most fun you can have in 5 mi,"2,080",Wiggles 3D,"77,600",Connor Reid,"92,800","77,600",7,1,242
chocamo cookie cups sip bite feed your soul,91,ChocAmo Cookie Cups,"4,750",Michelle Silberman,"1,660","1,550",4,6,0
chip smart cookie ovenfresh cookies in under 10 mi,264,CHiP Team,"162,000",Kevin Yu,"127,000","164,000",1,5,9
destiny aurora renegades miniatures board game,"2,490",Destiny Horizons,"12,200",Frank Zanca,"3,000","12,800",7,6,3
oak turn your tabletop into an augmented reality p,59,ToneTree Inc.,923,Brian Cook,"378,000",976,407,1,1
pocketlab voyager explore science in your world,370,Clifton Roozeboom,"1,440",CLIFTON ROOZEBOOM,"1,440","1,500",1,1,23
this defiant earth 1950s sci fi movie roleplaying,638,C. Michael Hall,"343,000",C Michael Hall,"343,000","66,300",1,1,4
vaxcards a game of infectious disease and fun,254,Adam & Dan,"930,000,000",Daniel Stewart Epstein,90,196,1,1,1
